2015154,25111807150907,13,"364,605,498元","984,457,630元"
2015153,11152708292203,15,"348,341,018元","999,785,925元"
2015152,18321119212912,14,"392,322,240元","1,026,723,516元"
2015151,32050631230811,5,"350,309,390元","1,050,789,000元"
2015150,08010331112913,1,"333,813,118元","1,022,632,570元"
2015149,09213310222009,40,"368,458,204元","960,924,480元"
2015148,14092726132207,18,"330,278,892元","1,127,755,566元"
2015147,23300809162405,29,"331,495,570元","1,187,906,265元"
2015146,17281630322115,3,"368,273,034元","1,307,571,540元"
2015145,08071924152013,14,"327,973,844元","1,248,915,010元"
2015144,07321504280116,6,"330,530,758元","1,278,764,676元"
2015143,20151913213204,6,"363,104,978元","1,253,527,944元"
2015142,22131720192511,2,"326,956,020元","1,221,938,746元"
2015141,28250308192702,8,"329,544,366元","1,174,709,536元"
2015140,28302920063112,5,"363,959,858元","1,188,582,820元"
2015139,13182501102709,5,"323,569,236元","1,158,957,645元"
2015138,08012416190211,11,"317,036,346元","1,160,191,307元"
2015137,27312814222312,2,"357,991,902元","1,183,970,392元"
2015136,05281202292301,3,"332,169,672元","1,134,489,732元"
2015135,14180126321207,6,"323,653,256元","1,085,902,032元"
2015134,14192705310204,4,"359,304,970元","1,078,946,224元"
2015133,24030220221315,3,"318,320,120元","1,037,218,347元"
2015132,03281105303301,7,"324,697,916元","991,052,692元"
2015131,10221326191203,7,"352,871,146元","971,589,906元"
2015130,15170622141610,5,"329,910,968元","957,074,000元"
2015129,05081627111804,2,"330,274,852元","934,367,160元"
2015128,08112201280306,17,"353,929,358元","889,484,982元"
2015127,22071927331006,18,"323,385,694元","924,043,914元"
2015126,23102915201112,11,"321,292,184元","978,661,552元"
2015125,27301333220510,7,"342,693,238元","990,620,057元"
2015124,03270205181201,11,"314,656,346元","987,064,991元"
2015123,22052809120807,8,"312,976,520元","992,135,264元"
2015122,22051625110707,14,"340,964,698元","989,011,240元"
2015121,03212001292812,4,"311,696,404元","1,040,297,060元"
2015120,21242916272616,1,"306,978,816元","1,007,024,322元"
2015119,31231802100808,6,"336,177,996元","958,500,564元"
2015118,21012331110412,11,"302,094,780元","950,170,804元"
2015117,11042612321812,3,"276,307,776元","954,935,922元"
2015116,23150426062811,7,"298,345,670元","923,015,828元"
2015115,07013224140803,10,"275,624,372元","911,942,840元"
2015114,13212604070901,13,"297,013,542元","952,803,917元"
2015113,27070519010812,7,"337,101,348元","974,660,050元"
2015112,03271019200111,4,"306,859,802元","952,587,008元"
2015111,20161430081812,7,"307,364,620元","936,577,124元"
2015110,16052207231704,11,"340,689,020元","921,225,536元"
2015109,33160901320813,7,"317,531,670元","929,816,615元"
2015108,02241227221915,9,"309,769,258元","907,674,399元"
2015107,07182125161408,7,"337,547,646元","911,942,185元"
2015106,31320304012313,6,"305,793,682元","910,114,980元"
2015105,10092619162012,12,"304,229,202元","895,314,612元"
2015104,23210918262501,0,"332,604,432元","920,084,183元"
2015103,30320806132614,3,"284,270,680元","837,110,700元"
2015102,07141223092106,5,"300,065,068元","813,396,960元"
2015101,22162928240805,8,"333,057,658元","817,471,200元"
2015100,19210311170208,2,"302,573,068元","821,878,422元"
2015099,07142211061009,5,"297,598,058元","792,191,150元"
2015098,26091327330601,3,"329,104,206元","792,540,978元"
2015097,14272012092604,11,"298,570,222元","741,136,594元"
2015096,31232416170607,10,"294,260,644元","755,803,560元"
2015095,30283104152104,5,"325,059,832元","772,938,425元"
2015094,16061704130110,5,"295,713,760元","746,713,280元"
2015093,31012521130308,4,"292,493,392元","742,351,320元"
2015092,27260919211501,5,"318,089,362元","735,532,810元"
2015091,17220705193111,4,"285,818,388元","705,046,588元"
2015090,12332210251415,2,"282,983,042元","680,071,900元"
2015089,28142919122701,3,"311,873,350元","625,139,856元"
2015088,02122931202409,13,"287,667,610元","582,193,066元"
2015087,20150928191611,1,"280,174,514元","610,880,852元"
2015086,06051816082212,6,"308,129,834元","566,691,000元"
2015085,25080228272905,3,"285,325,214元","562,393,449元"
2015084,29281520221815,2,"281,884,996元","524,697,570元"
2015083,18070632162905,17,"315,704,384元","479,827,975元"
2015082,14090228300807,6,"288,017,344元","523,423,566元"
2015081,31281322202613,6,"278,500,218元","532,076,736元"
2015080,30142517272802,6,"314,150,596元","523,386,294元"
2015079,15093214202611,18,"291,775,556元","496,467,738元"
2015078,22072629032002,3,"291,936,416元","577,316,625元"
2015077,27061308100116,3,"324,775,100元","543,815,196元"
2015076,01092710192309,17,"294,088,268元","493,791,571元"
2015075,06193213211104,2,"292,719,690元","565,604,258元"
2015074,21290426250708,2,"320,107,256元","513,223,352元"
2015073,02272601221704,5,"293,054,328元","471,257,280元"
2015072,01310520032105,5,"293,363,242元","453,763,345元"
2015071,28290818203108,14,"308,073,950元","440,046,866元"
2015070,29071921130115,5,"294,607,168元","497,421,825元"
2015069,23171830130115,8,"292,089,158元","470,825,144元"
